"","TLID","FEDIRP","FENAME","FETYPE","FEDIRS","FRADDL","TOADDL","FRADDR","TOADDR","p","geometry","ID"
"1",184632270,"N","Hallanol","Dr",NA,NA,NA,NA,NA,2,c(24.841486, 24.841563, 36.070512, 36.07042),2
"2",184632283,"S","Ermou","St",NA,NA,NA,NA,NA,2,c(24.847478, 24.848369, 36.048091, 36.048074),3
"3",184632377,"N","Handstil","Pl",NA,NA,NA,NA,NA,2,c(24.841563, 24.841963, 36.07042, 36.07072),4
"4",184633316,NA,NA,NA,NA,NA,NA,NA,NA,2,c(24.847472, 24.847416, 36.049127, 36.049127),5
"5",184633423,"N","Pilau","St",NA,3699,3097,NA,NA,2,c(24.844279, 24.844363, 36.07631, 36.07622),6
"6",184633684,"N","Tempon","Dr",NA,NA,NA,NA,NA,2,c(24.839163, 24.839091, 36.07692, 36.077012),7
"7",184642319,NA,"Egeou","Ave",NA,5600,5698,5569,5585,2,c(24.848567, 24.847064, 36.05032, 36.05032),8
"8",184642322,"N","Leeno","St",NA,4716,4798,4763,4799,2,c(24.845963, 24.846063, 36.08712, 36.08782),9
"9",184642323,"N","Santaroza","St",NA,5598,5500,5599,5501,2,c(24.845963, 24.847737, 36.08712, 36.087125),10
"10",184642332,NA,"Reto","Way",NA,NA,NA,NA,NA,2,c(24.845463, 24.846357, 36.090173, 36.090144),11
"11",184642931,"N","Rosyn","Dr",NA,5300,5308,NA,NA,9,c(24.833763, 24.832896, 24.832514, 24.832316, 24.831994, 24.831476, 24.830957, 24.830499, 24.82998, 36.09282, 36.093682, 36.093942, 36.094293, 36.094468, 36.09456, 36.094598, 36.094697, 36.094918),12
"12",184642937,"N","Sachtouri","Ln",NA,NA,NA,NA,NA,2,c(24.831339, 24.830958, 36.091355, 36.091523),13
"13",184642938,NA,"Pherlau","Ln","N",6700,6798,6701,6799,9,c(24.833781, 24.833353, 24.833094, 24.832896, 24.832438, 24.832117, 24.831858, 24.831599, 24.831339, 36.091111, 36.091271, 36.091447, 36.091615, 36.091622, 36.091661, 36.091615, 36.091523, 36.091355),14
"14",184642939,NA,"Pherlau","Ln","N",NA,NA,NA,NA,6,c(24.831919, 24.831599, 24.831477, 24.8314, 24.8314, 24.831339, 36.090692, 36.090829, 36.090959, 36.091096, 36.09118, 36.091355),15
"15",184642940,"N","Obil","St",NA,5000,5098,5001,5099,2,c(24.833781, 24.833763, 36.091111, 36.09282),16
"16",184642941,"N","Distomou","St",NA,6600,6798,6521,6799,2,c(24.835163, 24.833763, 36.09282, 36.09282),17
"17",184642942,"N","Obil","St",NA,4942,4998,4941,4999,2,c(24.833872, 24.833781, 36.090524, 36.091111),18
"18",184642955,"N","Medel","St",NA,5010,5220,5001,5223,2,c(24.835063, 24.835163, 36.09102, 36.09282),19
"19",184642956,"N","Distomou","St",NA,6500,6598,6501,6519,2,c(24.836463, 24.835163, 36.09282, 36.09282),20
"20",184642957,"N","Diogenous","St",NA,NA,NA,NA,NA,2,c(24.833781, 24.834339, 36.091111, 36.091057),21
"21",184642958,"N","Diogenous","St",NA,NA,NA,NA,NA,2,c(24.834339, 24.835063, 36.091057, 36.09102),22
"22",184642960,"N","Diogenous","St",NA,6500,6598,6501,6599,2,c(24.836363, 24.835063, 36.09102, 36.09102),23
"23",184642961,"N","Medel","St",NA,4900,5008,4907,4999,2,c(24.835063, 24.835063, 36.08922, 36.09102),24
"24",184642962,"N","Kakavaki","St",NA,5002,5304,5009,5299,2,c(24.836363, 24.836463, 36.09102, 36.09282),25
"25",184642963,"N","Kakavaki","St",NA,4900,5000,4909,5007,2,c(24.836349, 24.836363, 36.08984, 36.09102),26
"26",184642964,NA,"Pherlau","Ln","N",NA,NA,NA,NA,6,c(24.832316, 24.831995, 24.831919, 24.831919, 24.831919, 24.831919, 36.08999, 36.090241, 36.090333, 36.09047, 36.090547, 36.090692),27
"27",184642965,"N","Pergamou","Ln",NA,6700,6798,6701,6799,7,c(24.833872, 24.833414, 24.833033, 24.832575, 24.832316, 24.832179, 24.831919, 36.090524, 36.090478, 36.090554, 36.090737, 36.090737, 36.090692, 36.090692),28
"28",184642967,"N","Obil","St",NA,4900,4940,4901,4939,2,c(24.833872, 24.833872, 36.089471, 36.090524),29
"29",184642968,"N","Desafio","St",NA,6614,6798,6601,6709,2,c(24.834363, 24.833872, 36.08922, 36.089471),30
"30",184642972,"N","Desafio","St",NA,6500,6612,6577,6599,2,c(24.835063, 24.834363, 36.08922, 36.08922),31
"31",184642977,"N","Medel","St",NA,4850,4898,4851,4905,2,c(24.835163, 24.835063, 36.08892, 36.08922),32
"32",184642979,"N","Medel","St",NA,4824,4848,4815,4849,2,c(24.834363, 24.834363, 36.08812, 36.08882),33
"33",184642980,"N","Medel","St",NA,4800,4822,4801,4813,2,c(24.834363, 24.834363, 36.08782, 36.08812),34
"34",184642981,"N","Joya","Rd",NA,6400,6598,6401,6599,2,c(24.835963, 24.834363, 36.08812, 36.08812),35
"35",184642982,"N","Derwen","St",NA,6600,6650,6601,6649,2,c(24.834963, 24.834363, 36.08772, 36.08782),36
"36",184642984,"N","Kiou","St",NA,6550,6598,6551,6599,2,c(24.835163, 24.834363, 36.08892, 36.08882),37
"37",184642985,"N","Kiou","St",NA,6500,6548,6501,6549,2,c(24.835763, 24.835163, 36.08872, 36.08892),38
"38",184642986,"N","Derwen","St",NA,6500,6598,6421,6599,2,c(24.836463, 24.834963, 36.08772, 36.08772),39
"39",184642987,"N","Medel","St",NA,4600,4798,4601,4799,2,c(24.835363, 24.834963, 36.08562, 36.08772),40
"40",184642989,"N","Kakavaki","St",NA,NA,NA,4901,4907,2,c(24.836363, 24.836349, 36.08922, 36.08984),41
"41",184642990,"N","Desafio","St",NA,6400,6498,6435,6499,2,c(24.837163, 24.836363, 36.08922, 36.08922),42
"42",184642991,"N","Joya","Rd",NA,4800,4848,4801,4849,2,c(24.837163, 24.837163, 36.08922, 36.08882),43
"43",184642992,"N","Desafio","St",NA,6350,6398,6401,6433,2,c(24.837563, 24.837163, 36.08922, 36.08922),44
"44",184642993,"N","Kakavaki","St",NA,4800,4850,4801,4851,2,c(24.835963, 24.835763, 36.08812, 36.08872),45
"45",184642994,"N","Joya","Rd",NA,4850,6398,4851,6399,2,c(24.837163, 24.835963, 36.08882, 36.08812),46
"46",184642995,"N","Kiou","St",NA,6300,6398,6301,6399,2,c(24.839176, 24.837163, 36.088751, 36.08882),47
"47",184642996,"N","Kakavaki","St",NA,4650,4698,4701,4799,2,c(24.836463, 24.836463, 36.08672, 36.08772),48
"48",184642997,"N","Derwen","St",NA,6400,6498,6401,6419,2,c(24.837263, 24.836463, 36.08752, 36.08772),49
"49",184642999,NA,NA,NA,NA,NA,NA,NA,NA,2,c(24.83465, 24.834696, 36.085069, 36.085824),50
"50",184643000,NA,"Grammou",NA,NA,NA,NA,NA,NA,2,c(24.834696, 24.835363, 36.085824, 36.08562),51
